feature,coef
Year,-8650.924724686543
__Month,-69610.76504213303
title_has_man,1538599.0846612998
title_has_love,-141864.58518232618
title_has_life,-370357.1165061131
title_has_3d,-2032764.5079022148
title_has_story,-483911.7569262642
Distributor_20th Century Fox,5331270.031006536
Distributor_3D Entertainment,1224534.9422986135
Distributor_41 Inc.,5997.039992600168
Distributor_518 Media,187288.26973180115
Distributor_600 West,35040.0630401219
Distributor_7-57 Releasing,-26602.74272846008
Distributor_7A Productions,-431652.26896171866
Distributor_A-Mark Entertainment,-1094451.0597664644
Distributor_A24,16488.420486714775
Distributor_ABCKO Films,12285.952556285223
Distributor_ABS-CBN,29368.87402358245
Distributor_AFFRM,87569.64072209723
Distributor_AMC Independent,0.0
Distributor_APD/Cinema Conservancy,-288881.39846847986
Distributor_ARC Entertainment,-296396.2292568181
Distributor_ATO Pictures,-176729.96632231466
Distributor_Abkco Films,-558091.880698653
Distributor_Abramorama Films,4167.384723680272
Distributor_AdLab Films,-255306.94864288662
Distributor_Adopt Films,-24697.709224257917
Distributor_After Dark,-153507.53963830584
Distributor_Afterlight Pictures,-647963.8267568118
Distributor_Alchemy,-301293.7747994776
Distributor_Aliquot Films,0.0
Distributor_Alive Mind,210185.5475057192
Distributor_All Rise Films,48151.14625560216
Distributor_Alliance Films,19324.45424556704
Distributor_Aloha Releasing,-302830.26975691365
Distributor_Amazon Studios/Roadside Attractions,175749.66236635167
Distributor_America Saga Releasing,-11214.405392744544
Distributor_American Experience/PBS Films,79269.47711602008
Distributor_American Zoetrope,0.0
Distributor_Amplify,45104.842834989155
Distributor_Anchor Bay Entertainment,-332901.4262003718
Distributor_Anchor Bay/Freestyle,-103917.19878930616
Distributor_Anderson Digital,-1194521.9890052078
Distributor_Andes Film Company,-8375.356036155335
Distributor_Anywhere Road Entertainment,-246683.66521351872
Distributor_Apparition,105178.04512279117
Distributor_Arab Film Distribution,74373.31865939849
Distributor_Arcangelo Entertainment,0.0
Distributor_Archstone Entertainment,-116810.35373482792
Distributor_Arclight Films,-10065.709946113282
Distributor_Area 23a,20945.66779507547
Distributor_Area23a/FilmBuff,67097.61683211126
Distributor_Arenas Entertainment,-297939.4105488214
Distributor_Argot Pictures,146684.58287028104
Distributor_Aron Govil Productions,98312.09040613797
Distributor_Arrival Pictures,0.0
Distributor_ArtMattan Productions,28178.3414685679
Distributor_Arthouse Films,141704.78390050182
Distributor_Artistic License,-15228.269467910312
Distributor_Artists Public Domain/Cinema Conservancy,142643.93421992796
Distributor_Artiztical Entertainment,-31617.31020396409
Distributor_Arts Alliance America,58241.104171491
Distributor_Aspiration Media,-38142.275522625416
Distributor_Atlantik Films,-60283.41717259593
Distributor_Atlas Distribution,-393463.3004934962
Distributor_Audience Alliance,-8.146344598048001
Distributor_Aura Entertainment,-248230.14437029616
Distributor_Autlook Films,-12411.702288898145
Distributor_Autonomous Films,0.0
"Distributor_AwesomenessTV, Conjunction Films",379785.9529378734
Distributor_B.D. Fox Independent,30123.28839807073
Distributor_B4U Movies,-55222.625772845975
Distributor_BBC Worldwide North America,57665.860218581794
Distributor_Balcony Releasing,200123.63042229105
Distributor_Bauer Martinez,-48430.915505996905
Distributor_Baxter Brothers,-412.8404830371006
Distributor_Beeker Street,0.0
Distributor_BerKela Films,3112.8676487542775
Distributor_Better World Distribution,0.0
Distributor_Bev Pictures,23224.704695022963
Distributor_Big Pictures,-186741.71651026997
Distributor_Big World Pictures,-7133.466028649768
Distributor_Black Diamond Pictures,0.0
Distributor_Bleecker Street,40823.300959534114
Distributor_Blue Water Entertainment,148647.68568692007
Distributor_Bluesky Cinemas,-433406.29961635836
Distributor_Bond/360,142421.47743786316
Distributor_Bonfire Films of America,80918.82903122567
Distributor_Borotoro,-66759.03609712987
Distributor_Brainstorm Media,-360280.46289341233
Distributor_Bramacharia LLC,-142170.3982248898
Distributor_Branded Entertainment,-250558.63247259104
Distributor_Broad Green Pictures,230548.52320542326
Distributor_Brothers' Ink Productions,-94071.1973704167
Distributor_Bullz Eye,23874.50581869289
Distributor_CAVU Releasing,-107027.3954671024
Distributor_CBS Films,642998.0599112388
Distributor_CFI,0.0
Distributor_CJ Entertainment,-583080.8075981267
Distributor_CODEBLACK Films/Lionsgate,0.0
Distributor_Cabin Films,62267.877159018055
Distributor_Cafe Pictures,0.0
"Distributor_Callbox, LLC",47870.142208127734
Distributor_Candlelight Media,48054.50040368124
Distributor_Candy Factory Films,0.0
Distributor_Captured Films,101186.32168901051
Distributor_Carnivalesque Films,-28038.31083728425
Distributor_Castle Hill Productions,-349573.7106097372
Distributor_Cavalier Films,-327407.7637284333
Distributor_Check Entertainment Distribution,-15933.149187546433
Distributor_Chicago Releasing,-746731.7799988509
Distributor_China Lion Film Distribution,-261023.73053454235
Distributor_Cinedigm,-360556.6201200264
Distributor_Cinedigm/Film Arcade,-345665.46592496766
Distributor_Cinelou Releasing,8374.180713308766
Distributor_Cinema Epoch,-102581.78326294225
Distributor_Cinema Guild,124255.87150588792
Distributor_Cinema Libre,-74969.42007947058
Distributor_Cinema Purgatorio,90929.97212827238
Distributor_Cinema Tropical,5827.114671259852
Distributor_Cinipix,-120476.41360128265
Distributor_City Drive Films,61131.70900321622
Distributor_City Lights Pictures,-113183.74664264265
Distributor_Clarius Entertainment,-316800.4141340503
Distributor_Codeblack Entertainment,44923.864161468344
Distributor_Cohen Media Group,-419110.39606760803
Distributor_Collective Eye,109513.80405756118
Distributor_Corinth Films,7560.086051993311
Distributor_Counterpoint Films & Self-Realization Fellowship,203234.73149380827
Distributor_Crane Movie Company,-227950.38684034842
Distributor_Cyan,0.0
Distributor_D Street Releasing,0.0
Distributor_Dada Films,-773675.2371016241
Distributor_Dark Frames,0.0
Distributor_Direct Cinema Ltd,66715.84669269329
Distributor_DisruptiveLA,408905.02184312476
Distributor_Distrib Films,-123180.02577892692
Distributor_Diversa Films,0.0
"Distributor_Documented Film, LLC",14019.014702531249
Distributor_Docurama,-109518.93169472695
Distributor_Doppelganger Releasing,-399870.0119935339
Distributor_Drafthouse Films,-118152.40511438719
Distributor_Dreamworks SKG,-402558.5200519793
Distributor_Driving With Our Eyes Shut,-111477.94435713501
Distributor_Eammon Films,24343.118873976953
Distributor_Echolight Studios,-855176.7074881252
Distributor_Elephant Eye Films,69272.4957207037
Distributor_Eleven Arts,-1212194.6796922022
"Distributor_Eliot Lives Productions, LLC",3085.508146743989
Distributor_Embassy,-62291.02999766432
Distributor_Embrem Entertainment,-129524.31041807705
Distributor_Emerging Pictures,-65429.50853502944
Distributor_Empire Pictures,-143384.9935368109
Distributor_Entertainment One,-484487.30543835205
Distributor_Equinox,-54757.66446721646
Distributor_Eros Entertainment,-617990.282709566
Distributor_EuropaCorp,-1158217.870960584
Distributor_Excel Entertainment,-102788.2962856666
Distributor_Exclusive Releasing,-110823.81126464193
Distributor_FIP,-489645.9378542341
Distributor_FUNimation,-1270496.687733618
Distributor_Fabrication Films,-52835.01572703052
Distributor_Fader Films,-52718.56006345316
Distributor_Fair Trade Pictures,-370600.7756652501
"Distributor_Fame, Inc.",0.0
Distributor_Faulkner-McLean Entertainment,-954023.1227978612
Distributor_Ficus,-121255.81949258977
Distributor_Film Arcade,22592.46022778223
Distributor_Film Forum,-12369.12867981997
Distributor_Film Foundry,11538.785988719275
Distributor_Film Movement,1094.516772729985
Distributor_Film Sales Company,-24780.113964334567
Distributor_FilmBuff,81353.76583384264
Distributor_FilmDemic,-71344.705600666
Distributor_FilmDistrict,773673.8371876081
Distributor_FilmRise,-86086.6113288186
Distributor_Fine Line,67805.8289956496
Distributor_First Independent Pictures,-465632.84881602303
Distributor_First Independent/Dada Films,-7307.157126581849
Distributor_First Look,-279813.5268130722
Distributor_First Run Features,71019.94486289305
Distributor_First Run/Icarus,70784.29041806982
Distributor_Fisher-Klingenstein Films,63722.61658332292
Distributor_Five & Two Pictures,-90734.31600008618
Distributor_Five Points Media,0.0
